faixa_etaria,participa_apostas,reserva_financeira,resgate_imediato,poupanca,tesouro,renda_fixa,renda_variavel,reserva_valor,nivel_conhecimento,objetivo_financeiro,decisao_financeira,jornada_financeira,conselho_financeiro,email
18 - 25,Não Participo Desse Tipo De Jogo,Não,Não,Não,Sim,Sim,Não tenho conhecimento sobre esse tipo de investimento,Não,Intermediário,Comprar uma casa,Estou disposto(a) a aprender e assumir novas estratégias para aumentar meus resultados,Pretendo criar uma reserva financeira sólida.,Aprender sobre finanças é tão importante quanto ganhar dinheiro.,joao.silva@gmail.com
41-60,Não Participo Desse Tipo De Jogo,Não,Sim,Não,Não,Sim,Não tenho conhecimento sobre esse tipo de investimento,Não tenho conhecimento sobre esse tipo de investimento,Iniciante,"Juntar dinheiro para uma meta de curto prazo (como viagem, carro ou troca de celular)",Busco equilibrar segurança e rentabilidade,Aprendi que cada pequena economia faz diferença.,Diversifique seus investimentos para reduzir riscos.,pedro.almeida@gmail.com
60+,"Sim, Mas De Forma Eventual E Controlada",Não,Não possuo a reserva,Não,Não,Não tenho conhecimento sobre esse tipo de investimento,Não tenho conhecimento sobre esse tipo de investimento,Não,Iniciante,"Juntar dinheiro para uma meta de curto prazo (como viagem, carro ou troca de celular)","Prefiro decisões seguras, mesmo que o retorno seja menor",Sonho em viver de renda passiva no futuro.,Equilibre segurança e rentabilidade nos investimentos.,rafael.costa@gmail.com
60+,"Sim, Mas De Forma Eventual E Controlada",Não,Não,Sim,Não,Sim,Não,Sim,Iniciante,Construir patrimônio,Estou disposto(a) a aprender e assumir novas estratégias para aumentar meus resultados,Meu objetivo é diversificar investimentos.,"Comece a poupar cedo, mesmo que seja pouco.",carla.santos@gmail.com
41-60,"Sim, Mas De Forma Eventual E Controlada",Não,Não possuo a reserva,Sim,Não tenho conhecimento sobre esse tipo de investimento,Não tenho conhecimento sobre esse tipo de investimento,Não,Não tenho conhecimento sobre esse tipo de investimento,Avançado,Viver de renda,"Prefiro decisões seguras, mesmo que o retorno seja menor",Aprendi a importância de poupar cedo.,Evite dívidas desnecessárias e priorize investimentos.,juliana.farias@gmail.com
18 - 25,Não Participo Desse Tipo De Jogo,Não,Não possuo a reserva,Sim,Não tenho conhecimento sobre esse tipo de investimento,Não,Não tenho conhecimento sobre esse tipo de investimento,Sim,Iniciante,Comprar uma casa,Estou disposto(a) a aprender e assumir novas estratégias para aumentar meus resultados,Estou aprendendo a equilibrar gastos e investimentos.,Use ferramentas de controle financeiro.,camila.ferreira@gmail.com
41-60,Não Participo Desse Tipo De Jogo,Não,Não possuo a reserva,Sim,Não tenho conhecimento sobre esse tipo de investimento,Não tenho conhecimento sobre esse tipo de investimento,Não,Sim,Intermediário,Construir patrimônio,Busco equilibrar segurança e rentabilidade,Já me arrependi de gastos impulsivos.,"Evite comprar por impulso, planeje antes de gastar.",lucas.moura@gmail.com
26 - 40,"Sim, Com Frequência, E Às Vezes Sinto Dificuldade Em Controlar Os Gastos",Não,Não possuo a reserva,Sim,Não tenho conhecimento sobre esse tipo de investimento,Sim,Sim,Não,Iniciante,"Juntar dinheiro para uma meta de curto prazo (como viagem, carro ou troca de celular)",Estou disposto(a) a aprender e assumir novas estratégias para aumentar meus resultados,Quero construir patrimônio com segurança.,Defina metas financeiras claras e acompanhe seu progresso.,maria.oliveira@gmail.com
41-60,Não Participo Desse Tipo De Jogo,Não,Não,Não tenho conhecimento sobre esse tipo de investimento,Sim,Não tenho conhecimento sobre esse tipo de investimento,Sim,Não tenho conhecimento sobre esse tipo de investimento,Avançado,"Juntar dinheiro para uma meta de curto prazo (como viagem, carro ou troca de celular)",Busco equilibrar segurança e rentabilidade,Tenho o sonho de investir em imóveis.,Nunca pare de estudar sobre dinheiro e economia.,felipe.gomes@gmail.com
41-60,"Sim, Com Frequência, E Às Vezes Sinto Dificuldade Em Controlar Os Gastos",Não,Sim,Sim,Não tenho conhecimento sobre esse tipo de investimento,Não,Não tenho conhecimento sobre esse tipo de investimento,Não,Iniciante,Comprar uma casa,Busco equilibrar segurança e rentabilidade,Busco planejar melhor minhas finanças.,Tenha sempre uma reserva de emergência.,isabela.rodrigues@gmail.com
18 - 25,"Sim, Com Frequência, E Às Vezes Sinto Dificuldade Em Controlar Os Gastos",Não,Não possuo a reserva,Não,Não,Sim,Não,Não tenho conhecimento sobre esse tipo de investimento,Intermediário,Construir patrimônio,Estou disposto(a) a aprender e assumir novas estratégias para aumentar meus resultados,nan,nan,nan
18 - 25,"Sim, Com Frequência, E Às Vezes Sinto Dificuldade Em Controlar Os Gastos",Não,Sim,Não,Não,Não tenho conhecimento sobre esse tipo de investimento,Não,Não tenho conhecimento sobre esse tipo de investimento,Iniciante,Construir patrimônio,Estou disposto(a) a aprender e assumir novas estratégias para aumentar meus resultados,nan,nan,nan
26 - 40,Não Participo Desse Tipo De Jogo,Sim,Não possuo a reserva,Não tenho conhecimento sobre esse tipo de investimento,Sim,Sim,Não tenho conhecimento sobre esse tipo de investimento,Não tenho conhecimento sobre esse tipo de investimento,Intermediário,Viver de renda,"Prefiro decisões seguras, mesmo que o retorno seja menor",nan,nan,nan
41-60,Não Participo Desse Tipo De Jogo,Não,Sim,Sim,Sim,Não,Não,Sim,Intermediário,Viver de renda,"Prefiro decisões seguras, mesmo que o retorno seja menor",nan,nan,nan
41-60,Não Participo Desse Tipo De Jogo,Não,Sim,Não,Não,Sim,Não tenho conhecimento sobre esse tipo de investimento,Sim,Avançado,Construir patrimônio,"Prefiro decisões seguras, mesmo que o retorno seja menor",nan,nan,nan
60+,Não Participo Desse Tipo De Jogo,Não,Não,Não,Não tenho conhecimento sobre esse tipo de investimento,Sim,Sim,Sim,Intermediário,Viver de renda,Busco equilibrar segurança e rentabilidade,nan,nan,nan
